                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     23,                 1.0627,                0.79295,                 1.0031,                 1.0656,                0.88727,                 1.0084,                0.66097,                0.94582,                0.87109,                0.58697,                 1.0804,                 1.2028,                 1.0611,                 1.0765,                  1.599,                 1.0349,             0.00076008,             0.00076008,             0.00076008
                     24,                 1.0662,                0.77785,                 1.0044,                 1.1647,                0.96687,                 1.0345,                0.72658,                0.89647,                0.91509,                0.62515,                 1.0691,                 1.0243,                  1.036,                 1.0961,                 1.1428,                 1.0467,             0.00078357,             0.00078357,             0.00078357
                     25,                 1.0546,                0.80981,                 1.0309,                 1.1167,                0.98245,                  1.013,                0.72132,                0.84012,                0.90766,                0.60831,                  1.073,                0.87794,                 1.0422,                 1.0217,                 1.0315,                 1.0272,             0.00080621,             0.00080621,             0.00080621
                     26,                 1.0586,                0.76863,                0.98419,                 1.1437,                0.86984,                 1.0042,                0.70531,                0.90196,                0.90416,                0.60524,                 1.1306,                0.97824,                 1.1575,                 1.0571,                0.80393,                 1.1179,               0.000828,               0.000828,               0.000828
                     27,                 1.0238,                0.71325,                0.99323,                 1.1218,                0.74758,                0.99957,                0.77132,                0.85562,                0.88451,                0.53209,                 1.1735,                0.93753,                 1.1486,                 1.2461,                0.82287,                 1.1771,             0.00084894,             0.00084894,             0.00084894
                     28,                 1.1068,                 0.7067,                 1.0031,                 1.2553,                0.68871,                0.98881,                0.87063,                0.92797,                0.93234,                0.60455,                 1.1864,                0.81439,                 1.0939,                 1.2372,                0.70483,                 1.1101,             0.00086903,             0.00086903,             0.00086903
                     29,                 1.1877,                0.87186,                 1.1254,                  1.322,                0.94049,                 1.1808,                0.87063,                0.92797,                0.93234,                0.60455,                 1.1864,                0.81439,                 1.0939,                 1.2372,                0.70483,                 1.1101,             0.00088828,             0.00088828,             0.00088828
                     30,                 1.1307,                0.88524,                 1.0684,                   1.19,                 1.0146,                 1.1024,                0.87408,                0.89277,                0.94686,                0.62692,                 1.1486,                0.74408,                 1.0781,                 1.2346,                0.61375,                 1.0948,             0.00090667,             0.00090667,             0.00090667
                     31,                 1.0353,                0.74932,                 1.0281,                 1.1129,                 0.8153,                 1.0325,                0.89062,                0.84314,                0.93242,                0.65197,                 1.1646,                0.71135,                 1.1201,                 1.2251,                0.64406,                 1.0977,             0.00092422,             0.00092422,             0.00092422
                     32,                 1.0652,                0.79536,                 1.0318,                 1.1493,                0.81339,                 1.0481,                 0.8515,                0.88739,                0.94793,                0.66162,                 1.2298,                0.74269,                 1.0835,                 1.2812,                0.57388,                 1.0622,             0.00094092,             0.00094092,             0.00094092
